id,affected_count,total_amount,naic_sector,naic_national_industry,sector,breach_date,cause
1,15,10269,44,446110,Retail,2014-10-26,Internal - Other
2,39,332165,61,611210,Education,2020-08-17,Internal - Consultant
3,90,4473,56,561790,Administrative,2019-11-15,External - Other
4,10,1471919,54,541715,Professional,2011-04-09,Internal - Trusted Third Party (TTP)
5,1,3986,92,926130,Public,2019-03-31,Internal - Trusted Third Party (TTP)
6,1309,438795,54,541611,Professional,2019-09-13,External - Former Employee
7,3985,71743,56,561990,Administrative,2014-05-03,External - Former Consultant
8,8375,1521949,62,622110,Healthcare,2013-12-24,Internal - Other
9,0,0,54,541211,Professional,2013-10-31,Internal - Employee
10,62,25913,51,517919,Information,2017-02-10,External - Criminal Organization
11,1703,37795,51,517311,Information,2015-09-13,Internal - Consultant
12,9,1280062,32,325412,Manufacturing,2013-08-05,Internal - Trusted Third Party (TTP)
13,0,0,52,522390,Financial,2019-01-20,Internal - Consultant
14,2280,396347,23,237210,Construction,2012-12-24,External - Hacktivist
15,636,238298,54,541110,Professional,2013-03-25,External - Former Employee
16,2,488,51,518210,Information,2018-12-29,External - Other
17,8646,11080,52,522291,Financial,2017-10-11,External - Vendor
18,1369,535985,56,561510,Administrative,2014-04-07,External - Terrorist
19,0,0,54,541110,Professional,2013-08-22,Internal - Other
20,387,3492,55,551112,Management,2013-03-29,NA
21,118,691,51,517311,Information,2012-09-11,External - Vendor
22,0,0,81,811192,Other,2014-06-09,Internal - Employee
23,8,3528,81,813910,Other,2017-07-23,Internal - Other
24,160,835181,81,813410,Other,2015-02-02,External - Criminal Organization
25,2769,2177244,61,611110,Education,2018-07-13,External - Other
26,2672,70593,81,813110,Other,2014-10-24,External - Nation State
27,0,0,62,622110,Healthcare,2013-01-14,Internal - Trusted Third Party (TTP)
28,1,312,61,611310,Education,2019-07-30,External - Vendor
29,6,76838,62,621999,Healthcare,2020-03-24,Internal - Employee
30,1812,23519,56,561990,Administrative,2013-03-26,External - Terrorist
31,32,594619,52,522120,Financial,2020-03-03,Internal - Employee
32,29,20821388,42,424490,Trade,2014-11-04,External - Vendor
33,20771,48878579,54,541110,Professional,2016-06-14,External - Former Employee
34,0,0,44,446110,Retail,2017-11-29,External - Hacktivist
35,3,25835,56,561990,Administrative,2017-12-16,External - Criminal Organization
36,8,33991,55,551112,Management,2013-03-24,Internal - Trusted Third Party (TTP)
37,101,1056616,51,517311,Information,2012-08-14,Internal - Organization
38,0,0,62,621111,Healthcare,2020-06-30,External - Hacktivist
39,6,1874,42,423320,Trade,2018-02-16,NA
40,45,8359,52,524126,Financial,2018-07-26,External - Hacktivist
41,69,60048,51,519190,Information,2011-04-10,External - Terrorist
42,0,0,72,721110,Hospitality,2012-03-14,External - Other
43,5,9535214,NA,NA,NA,2020-03-30,Internal - Employee
44,190,10727,81,812990,Other,2015-01-14,External - Former Employee
45,619,19712,51,517311,Information,2013-09-02,External - Nation State
46,270,2639,56,561440,Administrative,2017-11-30,External - Terrorist
47,0,0,62,622110,Healthcare,2011-11-26,External - Vendor
48,1,6447,72,721110,Hospitality,2011-04-25,NA
49,3986,6328695,92,921110,Public,2014-09-04,External - Criminal Organization
50,120,241693,51,515111,Information,2020-06-26,Internal - Consultant
51,9,34334,56,561990,Administrative,2020-02-14,External - Nation State
52,6,1760256,56,561990,Administrative,2014-04-26,Internal - Trusted Third Party (TTP)
53,431,247189,54,541611,Professional,2019-07-08,External - Former Consultant
54,8,799,52,522291,Financial,2013-05-24,External - Former Employee
55,722,232155,23,238210,Construction,2014-04-09,External - Other
56,3,227591,33,336211,Manufacturing,2014-03-23,Internal - Employee
57,0,0,54,541611,Professional,2015-04-09,External - Nation State
58,16149,224260,32,321211,Manufacturing,2014-11-16,External - Former Consultant
59,20,92095,56,561421,Administrative,2019-09-30,External - Vendor
60,38,32697,31,311352,Manufacturing,2015-11-20,NA
61,20166,91319,33,334310,Manufacturing,2016-01-05,Internal - Other
62,979,144171,42,423450,Trade,2018-09-28,External - Vendor
63,0,0,56,561440,Administrative,2019-10-17,External - Other
64,1,464467,92,921190,Public,2014-02-16,Internal - Employee
65,12,1156596,33,339116,Manufacturing,2019-11-17,Internal - Organization
66,36,7987,42,424210,Trade,2017-04-06,Internal - Consultant
67,12,1003,NA,NA,NA,2017-09-27,External - Former Employee
68,2,6136,56,561621,Administrative,2015-12-04,External - Vendor
69,119,2462,72,722513,Hospitality,2019-06-25,Internal - Organization
70,7353,101312,32,325212,Manufacturing,2016-05-18,External - Other
71,212,13053213,44,448120,Retail,2020-12-21,External - Vendor
72,16,232468,54,541511,Professional,2011-03-14,External - Vendor
73,38,4925,62,621111,Healthcare,2020-11-13,Internal - Trusted Third Party (TTP)
74,13,4648,32,325414,Manufacturing,2018-04-17,External - Former Consultant
75,389,211641,81,813219,Other,2016-03-24,Internal - Consultant
76,753,1630913,62,622110,Healthcare,2019-06-19,Internal - Organization
77,2,2233,48,484110,Transportation,2015-06-07,External - Hacktivist
78,126,2300493,72,722513,Hospitality,2012-09-14,External - Nation State
79,10796,6335764,62,621491,Healthcare,2013-01-27,NA
80,1043,10510725,62,621111,Healthcare,2013-01-14,External - Former Employee
81,2,11124,52,522130,Financial,2019-10-06,Internal - Consultant
82,9782,1375423,51,517312,Information,2020-10-12,External - Former Consultant
83,25,1650751,62,621111,Healthcare,2018-05-18,External - Former Consultant
84,17857,1169503,52,523920,Financial,2014-07-11,Internal - Organization
85,857,106338,56,561990,Administrative,2019-09-19,NA
86,109,26470,54,541512,Professional,2013-09-26,NA
87,13,5504,62,622110,Healthcare,2012-07-02,External - Nation State
88,18,62704,52,522120,Financial,2011-06-19,Internal - Employee
89,9370,256627,44,448110,Retail,2011-06-29,External - Hacktivist
90,7,1060454,56,561990,Administrative,2017-12-26,External - Criminal Organization
91,248410,7384153,NA,NA,NA,2020-07-15,Internal - Organization
92,25,19287,51,511110,Information,2017-04-17,External - Terrorist
93,30,31579,55,551112,Management,2013-11-12,External - Terrorist
94,1,43661,51,515120,Information,2015-08-03,Internal - Employee
95,3,5151,62,621111,Healthcare,2014-09-13,External - Former Employee
96,9,48428,61,611110,Education,2018-04-09,External - Criminal Organization
97,145,358,56,561990,Administrative,2013-09-09,External - Criminal Organization
98,78,1249,33,339112,Manufacturing,2018-05-31,External - Criminal Organization
99,602,18250,44,443142,Retail,2014-03-28,External - Former Employee
100,1574,164412,56,561990,Administrative,2017-11-12,Internal - Other
101,1709,21842,62,621111,Healthcare,2016-01-30,Internal - Employee
102,43,617,71,711410,Entertainment,2020-08-16,External - Terrorist
103,721,18014,62,621498,Healthcare,2012-06-04,Internal - Other
104,2195,389379,62,624310,Healthcare,2016-05-21,Internal - Other
105,109,45359,56,561110,Administrative,2017-09-12,External - Vendor
106,0,0,61,611110,Education,2012-01-09,Internal - Trusted Third Party (TTP)
107,3,127366,52,523120,Financial,2015-09-26,External - Other
108,11,101656,62,621999,Healthcare,2015-06-07,External - Hacktivist
109,6,926,56,561990,Administrative,2020-07-25,External - Former Employee
110,254,297574,44,445120,Retail,2020-09-18,External - Terrorist
111,17,43382,52,523991,Financial,2014-04-20,Internal - Organization
112,0,0,92,926120,Public,2017-08-01,External - Hacktivist
113,45,1355,62,621111,Healthcare,2012-06-17,Internal - Employee
114,18,3854,42,423490,Trade,2012-08-27,External - Criminal Organization
115,0,0,62,621111,Healthcare,2019-09-19,External - Terrorist
116,4,3178,52,522110,Financial,2011-04-13,External - Vendor
117,0,0,62,621410,Healthcare,2012-07-12,External - Other
118,18,12388,62,622110,Healthcare,2020-03-09,Internal - Organization
119,43,495133,42,423220,Trade,2013-08-23,NA
120,19,119184,61,611310,Education,2016-07-14,Internal - Other
121,18,11288,56,561440,Administrative,2020-07-18,External - Terrorist
122,405,524440,81,813410,Other,2011-10-09,External - Hacktivist
123,15,10739,92,921190,Public,2019-02-14,External - Former Employee
124,5,71101,92,921110,Public,2012-04-22,External - Terrorist
125,14239,11358957,52,522291,Financial,2016-08-23,Internal - Employee
126,23,625,62,622110,Healthcare,2020-07-26,External - Terrorist
127,0,0,62,621111,Healthcare,2014-07-11,External - Former Consultant
128,596,8557975,52,523910,Financial,2014-01-13,Internal - Employee
129,3,621129,54,541618,Professional,2016-11-05,External - Vendor
130,23,135754,56,561110,Administrative,2018-08-24,Internal - Other
131,274,274968,54,541512,Professional,2012-07-31,NA
132,5,8822,52,522390,Financial,2015-10-18,Internal - Employee
133,68,1461211,62,624190,Healthcare,2018-09-06,External - Nation State
134,16,416204,53,531130,Real Estate,2016-06-02,Internal - Other
135,600,187872,62,623990,Healthcare,2014-07-16,Internal - Trusted Third Party (TTP)
136,120,597229,42,424990,Trade,2015-01-16,NA
137,0,0,52,524210,Financial,2011-10-04,External - Terrorist
138,630,5955652,51,515120,Information,2017-08-09,External - Former Consultant
139,1,503556,55,551112,Management,2016-01-11,External - Former Consultant
140,35,25460,42,424920,Trade,2018-10-18,External - Terrorist
141,7,1020,52,522298,Financial,2013-06-21,External - Nation State
142,70,83287,42,424910,Trade,2017-09-01,External - Other
143,585,2988176,52,523120,Financial,2014-05-07,External - Terrorist
144,19003,382567,71,712110,Entertainment,2016-05-15,Internal - Other
145,728,8259,61,611699,Education,2019-05-23,External - Nation State
146,5,17295,61,611110,Education,2011-07-18,External - Other
147,387,111514,54,541110,Professional,2018-11-22,External - Former Consultant
148,0,0,51,511110,Information,2011-04-03,External - Former Employee
149,1,12691,56,561440,Administrative,2012-12-05,Internal - Organization
150,7,81613,52,523920,Financial,2016-03-08,Internal - Consultant
151,10,29186,51,517311,Information,2011-07-28,External - Former Employee
152,28,25960,51,511110,Information,2012-03-29,Internal - Employee
153,8,767,62,621310,Healthcare,2017-09-10,Internal - Trusted Third Party (TTP)
154,131341,238801,62,622310,Healthcare,2016-05-14,Internal - Organization
155,42,28534,92,921110,Public,2011-02-09,External - Former Employee
156,428,369041,56,561110,Administrative,2019-07-30,External - Hacktivist
157,3,421,56,561990,Administrative,2017-02-25,External - Nation State
158,2,484431,56,561440,Administrative,2018-11-19,External - Criminal Organization
159,1,15146,92,921110,Public,2017-06-29,External - Hacktivist
160,0,0,33,332919,Manufacturing,2011-10-31,External - Other
161,2,233143,55,551112,Management,2015-02-23,External - Criminal Organization
162,462,147997,56,561440,Administrative,2014-09-07,External - Former Employee
163,153,104588,56,561440,Administrative,2020-08-26,Internal - Consultant
164,1,23476,52,522130,Financial,2019-11-18,External - Terrorist
165,9,25393,52,522110,Financial,2012-07-30,NA
166,5601,858507,NA,NA,NA,2018-02-28,External - Other
167,1,55541,32,327991,Manufacturing,2011-03-27,External - Terrorist
